SOUTHEAST ASIAN CLIMATE ASSESSMENT & DATASET (SACA&D), file created on 26-08-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2011. Daily dataset for climate extremes
analyses in Southeast Asia.
In preparation
Data and metadata available at http://saca-bmkg.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALAYSIA, KUANTAN (STAID: 2842).
Blended and updated with sources: 101812 948657 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
101812,19680101,  251,    0
101812,19680102,  249,    0
101812,19680103,  245,    0
101812,19680104,  247,    0
101812,19680105,  251,    0
101812,19680106,  247,    0
101812,19680107,  254,    0
101812,19680108,  260,    0
101812,19680109,  259,    0
101812,19680110,  258,    0
101812,19680111,  253,    0
101812,19680112,  247,    0
101812,19680113,  255,    0
101812,19680114,  249,    0
101812,19680115,  255,    0
101812,19680116,  253,    0
101812,19680117,  247,    0
101812,19680118,  255,    0
101812,19680119,  256,    0
101812,19680120,  250,    0
101812,19680121,  252,    0
101812,19680122,  246,    0
101812,19680123,  248,    0
101812,19680124,  255,    0
101812,19680125,  252,    0
101812,19680126,  247,    0
101812,19680127,  248,    0
101812,19680128,  252,    0
101812,19680129,  247,    0
101812,19680130,  261,    0
101812,19680131,  262,    0
101812,19680201,  262,    0
101812,19680202,  265,    0
101812,19680203,  262,    0
101812,19680204,  255,    0
101812,19680205,  259,    0
101812,19680206,  259,    0
101812,19680207,  262,    0
101812,19680208,  276,    0
101812,19680209,  256,    0
101812,19680210,  260,    0
101812,19680211,  260,    0
101812,19680212,  250,    0
101812,19680213,  238,    0
101812,19680214,  256,    0
101812,19680215,  254,    0
101812,19680216,  253,    0
101812,19680217,  253,    0
101812,19680218,  262,    0
101812,19680219,  256,    0
101812,19680220,  254,    0
101812,19680221,  250,    0
101812,19680222,  263,    0
101812,19680223,  259,    0
101812,19680224,  258,    0
101812,19680225,  257,    0
101812,19680226,  257,    0
101812,19680227,  258,    0
101812,19680228,  262,    0
101812,19680229,  266,    0
101812,19680301,  264,    0
101812,19680302,  253,    0
101812,19680303,  261,    0
101812,19680304,  261,    0
101812,19680305,  253,    0
101812,19680306,  248,    0
101812,19680307,  261,    0
101812,19680308,  270,    0
101812,19680309,  273,    0
101812,19680310,  279,    0
101812,19680311,  270,    0
101812,19680312,  271,    0
101812,19680313,  269,    0
101812,19680314,  275,    0
101812,19680315,  274,    0
101812,19680316,  274,    0
101812,19680317,  282,    0
101812,19680318,  277,    0
101812,19680319,  271,    0
101812,19680320,  274,    0
101812,19680321,  276,    0
101812,19680322,  276,    0
101812,19680323,  282,    0
101812,19680324,  280,    0
101812,19680325,  262,    0
101812,19680326,  272,    0
101812,19680327,  273,    0
101812,19680328,  276,    0
101812,19680329,  273,    0
101812,19680330,  286,    0
101812,19680331,  282,    0
101812,19680401,  282,    0
101812,19680402,  272,    0
101812,19680403,  278,    0
101812,19680404,  277,    0
101812,19680405,  274,    0
101812,19680406,  270,    0
101812,19680407,  282,    0
101812,19680408,  276,    0
101812,19680409,  275,    0
101812,19680410,  276,    0
101812,19680411,  277,    0
101812,19680412,  276,    0
101812,19680413,  274,    0
101812,19680414,  279,    0
101812,19680415,  269,    0
101812,19680416,  270,    0
101812,19680417,  272,    0
101812,19680418,  270,    0
101812,19680419,  277,    0
101812,19680420,  277,    0
101812,19680421,  269,    0
101812,19680422,  277,    0
101812,19680423,  273,    0
101812,19680424,  276,    0
101812,19680425,  267,    0
101812,19680426,  280,    0
101812,19680427,  258,    0
